RepWeekDate,CoVHKU1,CoVNL63,CoVOC43,CoV229E
3/10/18,1.6999331,0.8499666,1.0696209,0.0668513
3/17/18,1.2550607,0.708502,0.7489879,0.0303644
3/24/18,0.9535292,0.6028058,0.734327,0.0876808
3/31/18,0.9358128,0.419916,0.9478104,0.0239952
4/7/18,0.7696008,0.3487253,0.4930255,0.1082251
4/14/18,0.6142185,0.3397804,0.4835337,0.0784109
4/21/18,0.6464924,0.2888583,0.6327373,0.1100413
4/28/18,0.4712939,0.2285061,0.4712939,0.0856898
5/5/18,0.4272152,0.2373418,0.7911392,0.1107595
5/12/18,0.2637652,0.1318826,0.4945598,0.1318826
5/19/18,0.2661934,0.230701,0.4259095,0.0709849
5/26/18,0.1825484,0.1825484,0.3833516,0.0547645
6/2/18,0.1409869,0.1409869,0.5236657,0.1611279
6/9/18,0.2397602,0.1798202,0.2597403,0.1598402
6/16/18,0.1508946,0.1077818,0.5173529,0.0862255
6/23/18,0.1555901,0.1778173,0.2444988,0.0666815
6/30/18,0.0709555,0.1655629,0.4020814,0.1182592
7/7/18,0.0509295,0.1018589,0.3310415,0.1273237
7/14/18,0.0761035,0.1268392,0.3297818,0.0761035
7/21/18,0.0774793,0.1807851,0.3873967,0.1549587
7/28/18,0.0766284,0.1021711,0.357599,0.2298851
8/4/18,0.085034,0.0283447,0.3117914,0.085034
8/11/18,0.0769231,0.1538462,0.4102564,0.1538462
8/18/18,0,0.1003261,0.3260597,0.1254076
8/25/18,0.0942951,0.4007544,0.3064592,0.0942951
9/1/18,0.0214638,0.3004937,0.2790298,0.1073192
9/8/18,0,0.2037905,0.2853067,0.1222743
9/15/18,0.0891902,0.1783803,0.4102747,0.2140564
9/22/18,0.0170619,0.3583006,0.511858,0.1023716
9/29/18,0,0.4164584,0.5164085,0.149925
10/6/18,0.0152439,0.2896341,0.6554878,0.1676829
10/13/18,0.0432651,0.2884338,0.7066628,0.1009518
10/20/18,0.01353,0.3653092,0.5547287,0.0676498
10/27/18,0.0130293,0.3257329,0.8729642,0.1954397
11/3/18,0.1008573,0.390822,1.2985376,0.1512859
11/10/18,0.0244111,0.4149884,0.9398267,0.1464665
11/17/18,0.0731172,0.5118206,1.1698757,0.2559103
11/24/18,0.0385505,0.5911077,2.1331277,0.308404
